cross_species_cluster,cluster_label,subclass_label,subclass_color,consensus_cluster,consensus_cluster_label
lamp5_sncg_vip|17,Vip_2,Vip,#a45fbf,yes,Vip|17
lamp5_sncg_vip|22,Vip_3,Vip,#a45fbf,yes,Vip|22
lamp5_sncg_vip|15,Vip_4,Vip,#a45fbf,yes,Vip|15
lamp5_sncg_vip|25,Vip_5,Vip,#a45fbf,yes,Vip|25
lamp5_sncg_vip|26,Vip_6,Vip,#a45fbf,yes,Vip|26
lamp5_sncg_vip|27,Vip_7,Vip,#a45fbf,yes,Vip|27
lamp5_sncg_vip|9,Vip_8,Vip,#a45fbf,yes,"Sncg, Vip|9"
lamp5_sncg_vip|16,Vip_9,Vip,#a45fbf,no,NA
glia|15,VLMC_1,VLMC,#697255,yes,VLMC|15
glia|14,VLMC_2,VLMC,#697255,no,NA
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
