metaneighbor_cluster,metaneighbor_cluster_label,cross_species_cluster,subclass,subclass_color,within_species_clusters,number_of_clusters,present_in_species,number_of_species
l5et_l56np_l6ct_l6b|7,L6 CT_1,L6 CT_1,L6 CT,#2e8cb8,"human|L6 CT_1, human|L6 CT_2, chimp|L6 CT_1, gorilla|L6 CT_1, rhesus|L6 CT_2, rhesus|L6 CT_3, rhesus|L6 CT_4, marmoset|L6 CT_2",8,"human, chimp, gorilla, rhesus, marmoset",5
l5et_l56np_l6ct_l6b|8,L6 CT_2,L6 CT_2,L6 CT,#2e8cb8,"human|L6 CT_3, human|L6 CT_4, chimp|L6 CT_2, chimp|L6 CT_3, gorilla|L6 CT_2, rhesus|L6 CT_1, marmoset|L6 CT_1, marmoset|L6 CT_3",8,"human, chimp, gorilla, rhesus, marmoset",5
it_types|16,L6 IT Car3_1,L6 IT Car3_1,L6 IT Car3,#5100ff,"human|L6 IT Car3_1, chimp|L6 IT Car3_2, gorilla|L6 IT Car3_2, rhesus|L6 IT Car3_1, marmoset|L6 IT Car3_3",5,"human, chimp, gorilla, rhesus, marmoset",5
it_types|17,L6 IT Car3_2,L6 IT Car3_2,L6 IT Car3,#5100ff,"human|L6 IT Car3_2, human|L6 IT Car3_3, chimp|L6 IT Car3_1, gorilla|L6 IT Car3_1, gorilla|L6 IT Car3_3, rhesus|L6 IT Car3_2, marmoset|L6 IT Car3_1, marmoset|L6 IT Car3_2",8,"human, chimp, gorilla, rhesus, marmoset",5
it_types|19,L6 IT_1,L6 IT_1,L6 IT,#a19922,"human|L6 IT_2, chimp|L6 IT_1, gorilla|L6 IT_1, gorilla|L6 IT_2, rhesus|L6 IT_1, rhesus|L6 IT_2, marmoset|L6 IT_3",7,"human, chimp, gorilla, rhesus, marmoset",5
it_types|18,L6 IT_2,L6 IT_1,L6 IT,#a19922,"human|L6 IT_1, gorilla|L6 IT_3, rhesus|L6 IT_3, rhesus|L6 IT_4, marmoset|L6 IT_1, marmoset|L6 IT_2",6,"human, gorilla, rhesus, marmoset",4
l5et_l56np_l6ct_l6b|9,L6b_1,L6b_1,L6b,#7045aa,"human|L6b_1, chimp|L6b_1, gorilla|L6b_3, rhesus|L6b_4, marmoset|L6b_2",5,"human, chimp, gorilla, rhesus, marmoset",5
l5et_l56np_l6ct_l6b|10,L6b_2,L6b_2,L6b,#7045aa,"human|L6b_2, chimp|L6b_2, gorilla|L6b_1, gorilla|L6b_4, rhesus|L6b_3, marmoset|L6b_3",6,"human, chimp, gorilla, rhesus, marmoset",5
l5et_l56np_l6ct_l6b|12,L6b_4,L6b_2,L6b,#7045aa,"human|L6b_3, human|L6b_4, human|L6b_5, chimp|L6b_3, chimp|L6b_4, chimp|L6b_6, gorilla|L6b_2, gorilla|L6b_6, rhesus|L6b_2",9,"human, chimp, gorilla, rhesus",4
l5et_l56np_l6ct_l6b|13,L6b_3,L6b_3,L6b,#7045aa,"human|L6b_6, chimp|L6b_5, gorilla|L6b_5, rhesus|L6b_1, marmoset|L6b_1",5,"human, chimp, gorilla, rhesus, marmoset",5
